datetime,slackbus_voltage,demand_mainbus,demand_broad,demand_schlinger,demand_resnick,demand_beckman,demand_braun,rtp,temp,feelslike,humidity,windspeed,solarradiation
2024-10-23T14,"[1207.36, -738.84, 18.79, 1432.85]","[333574.53, 175656.05, 330847.78, 177828.28, 338713.16, 182281.6]","[-124819.96, -64186.64, -123113.71, -69011.32, -122879.93, -68075.39]","[-105917.79, -31754.71, -109014.08, -32454.43, -109761.83, -36629.93]","[-11630.96, 1430.8, -6059.57, 18.47, -7890.51, 5549.56]","[-60956.91, -43579.13, -63840.14, -40892.6, -66238.11, -46514.5]","[-29610.86, -36845.8, -28187.33, -34773.59, -31278.43, -35861.06]",6.89e-05,86.9,87.5,44.02,5.2,719
2024-10-23T15,"[1209.35, -743.41, -1232.18, -693.78, 22.83, 1437.19]","[332117.38, 180200.08, 324638.62, 178802.33, 337982.94, 180436.4]","[-122004.95, -66027.38, -119970.73, -68132.91, -122228.28, -68078.61]","[-106481.55, -31725.27, -105853.84, -35280.98, -105939.88, -34634.9]","[-11157.55, 1942.83, -6305.47, 416.96, -7669.91, 5401.56]","[-62039.81, -45679.59, -63068.46, -41102.43, -68090.91, -45979.69]","[-29785.18, -37978.48, -28821.89, -34004.8, -33396.69, -36402.44]",3.71e-05,87.0,87.6,43.78,7.6,606
2024-10-23T16,"[1206.24, -736.57, -1223.95, -695.35, 17.71, 1431.92]","[336329.47, 182327.2, 327827.22, 183663.64]","[-124218.76, -66805.28, -120785.48, -68990.78, -123884.08, -67837.94]","[-105876.02, -30751.71, -107005.38, -35006.02, -105765.55, -35612.54]","[-10781.93, 2268.72, -6784.26, 904.93, -7879.7, 5074.36]","[-62334.51, -46210.27, -61069.31, -42138.92, -66858.29, -44861.57]","[-32449.92, -40073.92, -31538.07, -37704.77, -34782.87, -39515.63]",1.92e-05,87.7,88.0,41.95,4.4,463
2024-10-23T17,"[1191.71, -772.33, -1269.63, -642.97, 77.92, 1415.3]","[348373.5, 197677.97, 361089.56, 189664.16, 360308.7, 202192.56]","[-126868.81, -70662.24, -136633.14, -66317.5, -134994.66, -76030.31]","[-108639.82, -34640.69, -116244.43, -34761.61, -111803.12, -40641.22]","[-10488.08, 2157.07, -5575.53, 334.7, -6398.89, 5512.95]","[-67820.53, -46891.93, -66063.91, -45402.56, -68002.73, -44095.71]","[-33815.57, -46803.7, -35832.73, -42681.71, -38348.6, -46079.2]",1.65e-05,86.0,86.5,44.62,8.7,246
2024-10-23T18,"[1223.71, -702.42, -1222.04, -715.3, -1.67, 1417.72]","[353636.16, 184205.28, 358333.3, 172123.36, 369705.25, 181095.9]","[-131266.33, -53381.45, -132290.02, -53359.18, -132916.81, -53767.39]","[-108120.23, -40812.04, -115902.77, -35935.98, -117141.06, -44622.36]","[-10690.17, 2366.68, -6035.66, 565.4, -6830.29, 5563.42]","[-66827.24, -44817.57, -65648.09, -42173.42, -69186.91, -42289.67]","[-35969.61, -46699.69, -37717.72, -40385.56, -42813.29, -45057.39]",1.94e-05,83.5,83.8,46.03,11.3,29
2024-10-23T19,"[1170.14, -775.55, -1258.62, -640.54, 88.48, 1416.09]","[353383.6, 173769.27, 366208.12, 172192.17, 368542.97, 183053.19]","[-134699.55, -52573.5, -138909.58, -53301.82, -138838.2, -55994.36]","[-109513.95, -32494.03, -115184.55, -38681.68, -109056.56, -39915.84]","[-9894.53, 3512.79, -7352.32, 2045.96, -7441.68, 5119.72]","[-63105.83, -45730.67, -67921.28, -40358.86, -71639.76, -47187.86]","[-35444.36, -45664.68, -36089.05, -41047.28, -40781.33, -44187.8]",2.65e-05,80.7,81.3,48.23,7.9,0
2024-10-23T20,"[1208.77, -758.51, -1254.78, -663.72, 46.01, 1422.22]","[357747.22, 195702.39, 353145.1, 190903.25]","[-129197.51, -68831.1, -125859.15, -74423.92, -121978.41, -69859.45]","[-112809.72, -37516.25, -113183.81, -35761.14, -114111.37, -37960.83]","[-9706.96, 2849.02, -6027.64, 1071.46, -6350.57, 5078.7]","[-67953.14, -45488.82, -69202.67, -42111.75, -71056.42, -45476.85]","[-37314.13, -45850.42, -38133.12, -38843.66, -43381.85, -43382.43]",2.95e-05,76.0,76.0,69.46,10.0,0
2024-10-23T21,"[1232.39, -697.78, -1221.91, -720.75, -10.48, 1418.53]","[360288.9, 206829.7, 363100.22, 204185.64, 365176.62, 207200.38]","[-124331.38, -72591.94, -124433.64, -72087.53, -125233.39, -72175.53]","[-117112.18, -37640.78, -115054.2, -43615.79, -111201.62, -38566.15]","[-9934.86, 2548.34, -6357.64, 1382.57, -7139.88, 5091.52]","[-69071.89, -50793.58, -75946.73, -45965.55, -76943.49, -54184.42]","[-39001.1, -47405.95, -40464.48, -42946.76, -43792.2, -46387.76]",2.97e-05,74.1,74.1,74.04,7.7,0
2024-10-23T22,"[1206.77, -742.18, -1226.41, -692.17, 19.63, 1434.35]","[358143.38, 191258.66, 347391.88, 192379.16, 360856.88, 192125.34]","[-128012.28, -68165.12, -124673.32, -70413.92, -127616.61, -69860.8]","[-114763.77, -37081.05, -113283.91, -41097.34, -113691.18, -40200.57]","[-10004.36, 2935.47, -6413.1, 1216.57, -6995.2, 5203.01]","[-65691.3, -46582.5, -65754.66, -42328.79, -71045.57, -46601.98]","[-38899.36, -41493.3, -36527.75, -38920.98, -40738.59, -39795.69]",3.48e-05,71.9,71.9,79.38,4.7,0
2024-10-23T23,"[1203.55, -737.47, -1223.16, -692.67, 19.61, 1430.14]","[363658.88, 172823.55, 369979.16, 172287.8]","[-137365.8, -51317.1, -135843.69, -53988.66, -138121.61, -53941.82]","[-113173.81, -38693.98, -110096.02, -40265.34, -113452.77, -38803.81]","[-9419.73, 2367.88, -5257.51, 692.41, -6120.2, 5170.24]","[-66024.31, -44541.08, -65548.12, -41778.33, -69939.9, -44553.88]","[-36921.21, -39787.75, -37127.68, -35579.08, -41587.69, -39303.66]",3.28e-05,70.8,70.8,79.34,4.0,0
